index,width,height,unique,blur,mean,min,max,stdv,file_size,contrast
3929,640,480,86,48.7559,9.6872,0.0000,91.0000,9.0595,13647,1.0000
3930,640,480,128,133.0556,24.1448,0.0000,130.0000,22.6822,20662,1.0000
3931,640,480,152,194.6093,28.9346,0.0000,152.0000,27.2722,24022,1.0000
3932,640,480,153,191.3973,29.2744,0.0000,156.0000,27.3841,24161,1.0000
3933,640,480,101,84.0481,19.5986,0.0000,101.0000,18.2009,17881,1.0000
3934,640,480,160,193.7089,29.7158,0.0000,162.0000,28.1716,23960,1.0000
3935,640,480,107,84.9174,19.8156,0.0000,107.0000,18.8126,17594,1.0000
3936,640,480,112,83.9991,20.8023,0.0000,111.0000,19.5891,17605,1.0000
3937,640,480,136,130.6697,23.7598,0.0000,137.0000,24.1172,19322,1.0000
3938,640,480,110,83.9328,19.0229,0.0000,109.0000,19.3378,16694,1.0000
3939,640,480,161,190.8690,30.2594,0.0000,160.0000,30.0698,23048,1.0000
3940,640,480,123,137.4948,26.6766,0.0000,124.0000,21.6600,21561,1.0000
3941,640,480,149,200.7192,32.0235,0.0000,148.0000,25.9995,25267,1.0000
3942,640,480,119,103.1808,12.5578,0.0000,133.0000,12.8788,17680,1.0000
3943,640,480,112,92.3918,16.0262,0.0000,160.0000,13.1179,18892,1.0000
3944,640,480,77,37.5328,10.7768,0.0000,100.0000,8.6562,13505,1.0000
3945,640,480,147,205.4292,32.0553,0.0000,147.0000,26.2934,25357,1.0000
3946,640,480,145,192.4260,31.2767,0.0000,144.0000,25.8106,25009,1.0000
3947,640,480,100,84.8666,20.8598,0.0000,102.0000,17.2492,18363,1.0000
3948,640,480,131,139.2333,26.9827,0.0000,130.0000,22.6049,21566,1.0000
3949,640,480,125,135.4906,26.0806,0.0000,125.0000,21.9329,21322,1.0000
3950,640,480,102,87.0379,20.8720,0.0000,103.0000,17.5873,18316,1.0000
3951,640,480,129,147.4820,27.2607,0.0000,128.0000,23.0553,21670,1.0000
3952,640,480,157,214.3657,32.7277,0.0000,158.0000,27.6780,25331,1.0000
3953,640,480,101,70.0036,10.5123,0.0000,111.0000,10.5010,15146,1.0000
3954,640,480,160,215.2992,32.8301,0.0000,165.0000,27.9772,25317,1.0000
3955,640,480,134,140.1812,26.4939,0.0000,134.0000,22.4919,21393,1.0000
3956,640,480,155,205.5908,31.7805,0.0000,158.0000,27.0101,25110,1.0000
3957,640,480,137,149.5472,27.6410,0.0000,138.0000,23.9060,21616,1.0000
3958,640,480,110,96.6485,22.1007,0.0000,109.0000,19.1642,18670,1.0000
3959,640,480,160,216.5566,32.6606,0.0000,161.0000,28.0148,25263,1.0000
3960,640,480,120,105.5292,12.4925,0.0000,137.0000,12.6734,17761,1.0000
3961,640,480,121,74.5590,9.6014,0.0000,152.0000,9.0375,13585,1.0000
3962,640,480,155,114.2908,14.0909,0.0000,203.0000,13.1260,17688,1.0000
3963,640,480,173,169.7447,16.8327,0.0000,245.0000,15.8504,20679,1.0000
3964,640,480,89,57.8877,13.2270,0.0000,128.0000,10.7224,15684,1.0000
3965,640,480,136,148.3818,27.7301,0.0000,135.0000,23.6420,21843,1.0000
3966,640,480,163,216.3559,33.2848,0.0000,163.0000,28.3821,25605,1.0000
3967,640,480,108,96.6445,22.1745,0.0000,108.0000,18.9509,18828,1.0000
3968,640,480,129,141.4236,27.2539,0.0000,133.0000,23.1645,21649,1.0000
3969,640,480,156,207.3872,32.6950,0.0000,155.0000,27.8182,25328,1.0000
3970,640,480,106,91.6429,21.7966,0.0000,105.0000,18.5784,18699,1.0000
3971,640,480,126,146.3918,27.8500,0.0000,127.0000,22.5237,21997,1.0000
3972,640,480,155,212.7943,34.1130,0.0000,157.0000,28.0535,25548,1.0000
3973,640,480,104,93.5133,22.7372,0.0000,104.0000,18.7444,18855,1.0000
3974,640,480,123,139.0606,27.4399,0.0000,123.0000,21.7832,21890,1.0000
3975,640,480,100,89.1460,21.9463,0.0000,102.0000,17.4916,18873,1.0000
3976,640,480,95,86.6088,21.3375,0.0000,94.0000,17.2897,18603,1.0000
3977,640,480,137,98.3957,25.4664,0.0000,136.0000,21.2793,19459,1.0000
3978,640,480,115,100.9043,12.2839,0.0000,121.0000,12.3739,17686,1.0000
3979,640,480,111,62.6258,20.3459,0.0000,110.0000,17.0578,16751,1.0000
3980,640,480,135,98.8235,25.6249,0.0000,134.0000,21.1375,19555,1.0000
3981,640,480,82,54.9144,12.4739,0.0000,107.0000,10.1793,15619,1.0000
3982,640,480,67,34.7177,10.0389,0.0000,87.0000,8.1058,13348,1.0000
3983,640,480,137,95.1777,25.1917,0.0000,137.0000,20.6549,19573,1.0000
